;1.6;1.8;2.8;5.8;6.8;7.8;8.8
;PMAX;CP;CO;BPP;BPO;BOO;BOP
;C;C;C;C;C;C;C
DATA ODCZYTU;kW;kWh;kWh;kvarh;kvarh;kvarh;kvarh
2018-04-29 00:00:00;22,;338 623,1971;0,;28 630,7993;0,;0,;2 791,7853
2018-04-30 00:00:00;23,;338 925,715;0,;28 633,3738;0,;0,;2 803,4713
2018-05-01 00:00:00;22,;339 236,3979;0,;28 642,1265;0,;0,;2 807,9723
2018-05-02 00:00:00;23,;339 523,535;0,;28 645,6954;0,;0,;2 817,4066
2018-05-03 00:00:00;21,;339 820,2543;0,;28 648,7088;0,;0,;2 827,9504
2018-05-04 00:00:00;20,;340 107,1369;0,;28 652,7736;0,;0,;2 838,2497
2018-05-05 00:00:00;22,;340 410,2116;0,;28 659,9351;0,;0,;2 845,9498
2018-05-06 00:00:00;29,;340 725,8066;0,;28 664,1857;0,;0,;2 858,0197
2018-05-07 00:00:00;23,;341 023,3262;0,;28 667,7527;0,;0,;2 872,4499
2018-05-08 00:00:00;30,;341 347,8308;0,;28 673,7875;0,;0,;2 884,4271
2018-05-09 00:00:00;27,;341 667,4312;0,;28 679,4241;0,;0,;2 894,8553
